title,class
Associate Professor,1
Professor,1
Assistant Professor,1
"Director & Teaching Professor, First Year Engineering Program",2
Associate Professor,1
Esther and Harold E. Edgerton Career Development Assistant Professor,1
"Research Assistant Professor, Petroleum Geology",
"Professor, Biomedical Engineering",1
Assistant Professor,1
Financial Associate,3
Administrative Assistant,3
Assistant Research Scientist,3
Senior Staff Assistant,3
Administrative Secretary-Senior,3
Department Manager,3
Assistant Professor,1
Professor,1
Administrative Assistant to Charles T. Driscoll,3
Professor,1
Lecturer,2
Faculty Research Assistant,2
Lecturer,2
Professor Emeritus,1
Professor of Engineering,1
Associate Professor,1
Assistant Professor,1
Assistant Professor,1
Associate Professor and St. Clair Fellow,1
Adjunct Professor,2
Assistant Professor,1
"Associate Professor, Chemistry, Bioengineering,",1
Adjunct Faculty,2
Research Faculty,2
"Lecturer, Engineering Technology & Construction Management",2
RSA Professor,1
Professor Emerita,1
Associate Professor,1
Assistant Professor,1
Academic Advisor,3
ASSISTANT PROFESSOR,1
Associate Professor,1
Administrative Specialist I,3
Assistant Professor,1
Assistant Professor,1
Assistant Professor,1
UNIX Administrator,3
SENIOR RESEARCH ASSOCIATE AND ASSOCIATE PROFESSOR,1
Associate Professor,1
Program Assistant,3
"Senior Lecturer, ME Undergraduate Advisor",2
Professor “ MLD; Courtesy Professor “ ECE,1
Assistant Professor,1
Secretary,3
Research Asst Professor,2
Senior Lecturer,2
Senior Lecturer,2
"Department Head, Professor",1
 Associate Director of Department Student Services,3
Professor of Aeronautics and Astronautics,1
Institute Professor,1
Administrative Assistant | Middletown Campus,3
Adjunct Assistant Professor,2
Professor,1
Professor ,1
Dean and Professor ,1
Assistant Professor,1
Assistant Professor,1
Associate Professor,1
Professor of Applied Mathematics and Computer Science,1
Assistant Professor,1
"Lecturer III, Biomedical Engineering",2
Business Manager and Academic Programs Coordinator,3
Associate Professor,1
Administrative Assistant,3
Professor,1
Executive Secretary,3
Faculty Research Assistant,2
Associate Professor of Mechanical & Ocean Engineering,1
Morris Cohen Professor of Materials Science and Engineering,1
Special Instructor,2
Assistant Professor,1
Instructor,2
professor and director,1
Lecturer,2
