title,faculty,staff
Dean and Professor ,1,1
"Department Head; Professor, Biomedical Engineering",1,1
"Interim ME Department Chair, Program Director-Engineering Professor",1,1
"Department Head; Professor, Biomedical Engineering",1,1
Provost and Executive Vice President for Academic Affairs,,1
Vice Provost for Academic Strategy,,1
Associate  Dean of Engineering,,1
Associate Vice President for Research,,1
 Program Assistant,,2
Associate  Dean of Engineering,,1
Associate Vice President for Research,,1
SENIOR RESEARCH ASSOCIATE AND ASSOCIATE PROFESSOR,1,2
Institute Professor,1,2
professor and director,1,2
 Chair & Associate Professor,1,2
"Professor & Program Director, SET",1,2
Associate Professor and Undergraduate Coordinator,1,2
Real World Projects Coordinator | Professor,1,2
Program Director BioMolecular Engineering Professor,1,2
"Adjunct Professor “ ECE; Professor “ EPP, CS; Technical Director “ CyLab",1,2
"Interim ME Department Chair, Program Director-Engineering Professor",1,2
Associate Professor CE Undergraduate Advisor,1,2
Corporate and Professional Education,,2
Associate Professor and Undergraduate Coordinator,1,2
Real World Projects Coordinator | Professor,1,2
Program Director BioMolecular Engineering Professor,1,2
"Adjunct Professor “ ECE; Professor “ EPP, CS; Technical Director “ CyLab",1,2
Associate Professor CE Undergraduate Advisor,1,2
Corporate and Professional Education,,2
"Director & Teaching Professor, First Year Engineering Program",2,2
Faculty Research Assistant,,2
Instructor / Analyst,2,2
Financial Associate,,2
Administrative Assistant,,2
Assistant Research Scientist,,2
Senior Staff Assistant,,2
Administrative Secretary-Senior,,2
Department Manager,,2
Administrative Assistant to Charles T. Driscoll,,2
Academic Advisor,,2
Administrative Specialist I,,2
UNIX Administrator,,2
Program Assistant,,2
Secretary,,2
 Associate Director of Department Student Services,,2
Administrative Assistant | Middletown Campus,,2
Business Manager and Academic Programs Coordinator,,2
Administrative Assistant,,2
Executive Secretary,,2
"Administrative Specialist, Department of Electrical Engineering and Computer Science",,2
CET Laboratory Coordinator,,2
Senior Secretary,,2
Administrative Assistant to Charles T. Driscoll,,2
Associate Director and Academic Advisor,,2
Secretary,,2
Engineering Technician,,2
ECE Accounting,,2
CMTI Program Coordinator,,2
"Office Assistant, Department of Civil and Environmental Engineering",,2
Administrative Assistant 2,,2
"Graduate Secretary, MAE",,2
Senior Secretary,,2
Fiscal Clerk,,2
Instructor / Analyst,2,2
Fiscal Clerk,,2
Secretary for Graduate Studies and Administration,,2
Director of Continuing Education,,2
Administrative Associate,,2
Staff Assistant,,2
"Executive Assistant, Administrative Staff",,2
"Accounting Clerk, Department of Mechanical and Aerospace Engineering",,2
"Assistant Co-op Coordinator (Global), Engineering Co-op",,2
Administrative Assistant,,2
"Supply Technician, Engineering Support Staff",,2
Academic Advisor,,2
Accounting Tech,,2
Master Administrative Assistant,,2
Management Assistant,,2
"Office Assistant, Department of Civil and Environmental Engineering",,2
Administrative Assistant,,2
"Graduate Secretary, MAE",,2
Senior Secretary,,2
Fiscal Clerk,,2
Fiscal Clerk,,2
Secretary for Graduate Studies and Administration,,2
Director of Continuing Education,,2
Administrative Associate,,2
Staff Assistant,,2
 Program Assistant,,2
"Executive Assistant, Administrative Staff",,2
"Accounting Clerk, Department of Mechanical and Aerospace Engineering",,2
"Assistant Co-op Coordinator (Global), Engineering Co-op",,2
Administrative Assistant,,2
"Supply Technician, Engineering Support Staff",,2
Academic Advisor,,2
Accounting Tech,,2
Master Administrative Assistant,,2
Management Assistant,,2
Associate Professor,1,
Professor,1,
Assistant Professor,1,
Associate Professor,1,
Esther and Harold E. Edgerton Career Development Assistant Professor,1,
"Professor, Biomedical Engineering",1,
Assistant Professor,1,
Assistant Professor,1,
Professor,1,
Professor,1,
Professor Emeritus,1,
Professor of Engineering,1,
Associate Professor,1,
Assistant Professor,1,
Assistant Professor,1,
Associate Professor and St. Clair Fellow,1,
Assistant Professor,1,
"Associate Professor, Chemistry, Bioengineering,",1,
RSA Professor,1,
Professor Emerita,1,
Associate Professor,1,
Assistant Professor,1,
ASSISTANT PROFESSOR,1,
Associate Professor,1,
Assistant Professor,1,
Assistant Professor,1,
Assistant Professor,1,
Associate Professor,1,
Professor “ MLD; Courtesy Professor “ ECE,1,
Assistant Professor,1,
"Department Head, Professor",1,
Professor of Aeronautics and Astronautics,1,
Professor,1,
